Buffon_omp,100000000,2,1,3.141753696,1.872540
Buffon_omp,100000000,2,1,3.141753696,1.872540
Buffon_omp,1000000000,2,1,3.141505021,18.595108
Buffon_omp,100000000,2,1,3.141753696,1.872540
Buffon_omp,1000000000,2,1,3.141505021,18.595108
Buffon_omp,5000000000,2,1,3.141597871,92.931416
Buffon_omp,100000000,4,1,3.141547907,1.230034
Buffon_omp,100000000,4,1,3.141547907,1.230034
Buffon_omp,1000000000,4,1,3.141707246,11.962212
Buffon_omp,100000000,4,1,3.141547907,1.230034
Buffon_omp,1000000000,4,1,3.141707246,11.962212
Buffon_omp,5000000000,4,1,3.141528715,61.545840
Buffon_omp,100000000,8,1,3.141566314,0.690697
Buffon_omp,100000000,8,1,3.141566314,0.690697
Buffon_omp,1000000000,8,1,3.141620725,7.357519
Buffon_omp,100000000,8,1,3.141566314,0.690697
Buffon_omp,1000000000,8,1,3.141620725,7.357519
Buffon_omp,5000000000,8,1,3.141558163,36.852509
Buffon_omp,100000000,2,2,3.141533005,1.852668
Buffon_omp,100000000,2,2,3.141533005,1.852668
Buffon_omp,1000000000,2,2,3.141627328,18.553798
Buffon_omp,100000000,2,2,3.141533005,1.852668
Buffon_omp,1000000000,2,2,3.141627328,18.553798
Buffon_omp,5000000000,2,2,3.141547852,93.084421
Buffon_omp,100000000,4,2,3.141819584,1.238825
Buffon_omp,100000000,4,2,3.141819584,1.238825
Buffon_omp,1000000000,4,2,3.141592947,12.295300
Buffon_omp,100000000,4,2,3.141819584,1.238825
Buffon_omp,1000000000,4,2,3.141592947,12.295300
Buffon_omp,5000000000,4,2,3.141521787,61.065570
Buffon_omp,100000000,8,2,3.141759372,0.708378
Buffon_omp,100000000,8,2,3.141759372,0.708378
Buffon_omp,1000000000,8,2,3.141544290,7.281288
Buffon_omp,100000000,8,2,3.141759372,0.708378
Buffon_omp,1000000000,8,2,3.141544290,7.281288
Buffon_omp,5000000000,8,2,3.141547592,36.919201
Buffon_omp,100000000,2,3,3.141627357,1.838343
Buffon_omp,100000000,2,3,3.141627357,1.838343
Buffon_omp,1000000000,2,3,3.141561695,18.570537
Buffon_omp,100000000,2,3,3.141627357,1.838343
Buffon_omp,1000000000,2,3,3.141561695,18.570537
Buffon_omp,5000000000,2,3,3.141610963,93.105132
Buffon_omp,100000000,4,3,3.141744566,1.243560
Buffon_omp,100000000,4,3,3.141744566,1.243560
Buffon_omp,1000000000,4,3,3.141467563,12.380744
Buffon_omp,100000000,4,3,3.141744566,1.243560
Buffon_omp,1000000000,4,3,3.141467563,12.380744
Buffon_omp,5000000000,4,3,3.141560955,62.293748
Buffon_omp,100000000,8,3,3.141459086,0.707989
Buffon_omp,100000000,8,3,3.141459086,0.707989
Buffon_omp,1000000000,8,3,3.141450525,7.427687
Buffon_omp,100000000,8,3,3.141459086,0.707989
Buffon_omp,1000000000,8,3,3.141450525,7.427687
Buffon_omp,5000000000,8,3,3.141602795,36.735634
Buffon_omp,100000000,2,4,3.141567843,1.902611
Buffon_omp,100000000,2,4,3.141567843,1.902611
Buffon_omp,1000000000,2,4,3.141562025,18.551963
Buffon_omp,100000000,2,4,3.141567843,1.902611
Buffon_omp,1000000000,2,4,3.141562025,18.551963
Buffon_omp,5000000000,2,4,3.141624778,93.250189
Buffon_omp,100000000,4,4,3.141567646,1.231174
Buffon_omp,100000000,4,4,3.141567646,1.231174
Buffon_omp,1000000000,4,4,3.141601652,12.326014
Buffon_omp,100000000,4,4,3.141567646,1.231174
Buffon_omp,1000000000,4,4,3.141601652,12.326014
Buffon_omp,5000000000,4,4,3.141591843,60.758443
Buffon_omp,100000000,8,4,3.141877380,0.685584
Buffon_omp,100000000,8,4,3.141877380,0.685584
Buffon_omp,1000000000,8,4,3.141716351,7.325030
Buffon_omp,100000000,8,4,3.141877380,0.685584
Buffon_omp,1000000000,8,4,3.141716351,7.325030
Buffon_omp,5000000000,8,4,3.141622034,37.731325
Buffon_omp,100000000,2,5,3.141633970,1.840236
Buffon_omp,100000000,2,5,3.141633970,1.840236
Buffon_omp,1000000000,2,5,3.141455538,18.648209
Buffon_omp,100000000,2,5,3.141633970,1.840236
Buffon_omp,1000000000,2,5,3.141455538,18.648209
Buffon_omp,5000000000,2,5,3.141659498,93.360390
Buffon_omp,100000000,4,5,3.141859661,1.227510
Buffon_omp,100000000,4,5,3.141859661,1.227510
Buffon_omp,1000000000,4,5,3.141618854,12.369333
Buffon_omp,100000000,4,5,3.141859661,1.227510
Buffon_omp,1000000000,4,5,3.141618854,12.369333
Buffon_omp,5000000000,4,5,3.141592515,61.779785
Buffon_omp,100000000,8,5,3.142056655,0.684876
Buffon_omp,100000000,8,5,3.142056655,0.684876
Buffon_omp,1000000000,8,5,3.141659188,7.405545
Buffon_omp,100000000,8,5,3.142056655,0.684876
Buffon_omp,1000000000,8,5,3.141659188,7.405545
Buffon_omp,5000000000,8,5,3.141585460,37.158583
Buffon_omp,100000000,2,6,3.141092257,1.881375
Buffon_omp,100000000,2,6,3.141092257,1.881375
Buffon_omp,1000000000,2,6,3.141554663,18.634353
Buffon_omp,100000000,2,6,3.141092257,1.881375
Buffon_omp,1000000000,2,6,3.141554663,18.634353
Buffon_omp,5000000000,2,6,3.141620272,95.254928
Buffon_omp,100000000,4,6,3.141597008,1.232990
Buffon_omp,100000000,4,6,3.141597008,1.232990
Buffon_omp,1000000000,4,6,3.141616910,12.305630
Buffon_omp,100000000,4,6,3.141597008,1.232990
Buffon_omp,1000000000,4,6,3.141616910,12.305630
Buffon_omp,5000000000,4,6,3.141591390,60.052743
Buffon_omp,100000000,8,6,3.141976689,0.685106
Buffon_omp,100000000,8,6,3.141976689,0.685106
Buffon_omp,1000000000,8,6,3.141669847,7.517676
Buffon_omp,100000000,8,6,3.141976689,0.685106
Buffon_omp,1000000000,8,6,3.141669847,7.517676
Buffon_omp,5000000000,8,6,3.141628317,36.250171
Buffon_omp,100000000,2,7,3.141205874,1.917308
Buffon_omp,100000000,2,7,3.141205874,1.917308
Buffon_omp,1000000000,2,7,3.141483585,18.646618
Buffon_omp,100000000,2,7,3.141205874,1.917308
Buffon_omp,1000000000,2,7,3.141483585,18.646618
Buffon_omp,5000000000,2,7,3.141579292,93.254798
Buffon_omp,100000000,4,7,3.141644235,1.243669
Buffon_omp,100000000,4,7,3.141644235,1.243669
Buffon_omp,1000000000,4,7,3.141618267,12.177745
Buffon_omp,100000000,4,7,3.141644235,1.243669
Buffon_omp,1000000000,4,7,3.141618267,12.177745
Buffon_omp,5000000000,4,7,3.141641591,61.782972
Buffon_omp,100000000,8,7,3.141164827,0.701445
Buffon_omp,100000000,8,7,3.141164827,0.701445
Buffon_omp,1000000000,8,7,3.141642823,7.401058
Buffon_omp,100000000,8,7,3.141164827,0.701445
Buffon_omp,1000000000,8,7,3.141642823,7.401058
Buffon_omp,5000000000,8,7,3.141604146,37.149232
Buffon_omp,100000000,2,8,3.141643396,1.924083
Buffon_omp,100000000,2,8,3.141643396,1.924083
Buffon_omp,1000000000,2,8,3.141661882,18.767967
Buffon_omp,100000000,2,8,3.141643396,1.924083
Buffon_omp,1000000000,2,8,3.141661882,18.767967
Buffon_omp,5000000000,2,8,3.141599578,92.905007
Buffon_omp,100000000,4,8,3.141553483,1.269424
Buffon_omp,100000000,4,8,3.141553483,1.269424
Buffon_omp,1000000000,4,8,3.141614867,11.721042
Buffon_omp,100000000,4,8,3.141553483,1.269424
Buffon_omp,1000000000,4,8,3.141614867,11.721042
Buffon_omp,5000000000,4,8,3.141578970,60.342264
Buffon_omp,100000000,8,8,3.141688009,0.702862
Buffon_omp,100000000,8,8,3.141688009,0.702862
Buffon_omp,1000000000,8,8,3.141497984,7.348014
Buffon_omp,100000000,8,8,3.141688009,0.702862
Buffon_omp,1000000000,8,8,3.141497984,7.348014
Buffon_omp,5000000000,8,8,3.141622180,36.796692
Buffon_omp,100000000,2,9,3.141808282,1.913510
Buffon_omp,100000000,2,9,3.141808282,1.913510
Buffon_omp,1000000000,2,9,3.141357707,18.703383
Buffon_omp,100000000,2,9,3.141808282,1.913510
Buffon_omp,1000000000,2,9,3.141357707,18.703383
Buffon_omp,5000000000,2,9,3.141560084,93.257771
Buffon_omp,100000000,4,9,3.141751130,1.215132
Buffon_omp,100000000,4,9,3.141751130,1.215132
Buffon_omp,1000000000,4,9,3.141671284,12.121114
Buffon_omp,100000000,4,9,3.141751130,1.215132
Buffon_omp,1000000000,4,9,3.141671284,12.121114
Buffon_omp,5000000000,4,9,3.141592245,59.991681
Buffon_omp,100000000,8,9,3.141618623,0.699929
Buffon_omp,100000000,8,9,3.141618623,0.699929
Buffon_omp,1000000000,8,9,3.141544739,7.355487
Buffon_omp,100000000,8,9,3.141618623,0.699929
Buffon_omp,1000000000,8,9,3.141544739,7.355487
Buffon_omp,5000000000,8,9,3.141605576,36.605060
Buffon_omp,100000000,2,10,3.141497723,1.919554
Buffon_omp,100000000,2,10,3.141497723,1.919554
Buffon_omp,1000000000,2,10,3.141579958,18.578530
Buffon_omp,100000000,2,10,3.141497723,1.919554
Buffon_omp,1000000000,2,10,3.141579958,18.578530
Buffon_omp,5000000000,2,10,3.141558905,93.363470
Buffon_omp,100000000,4,10,3.141796239,1.264139
Buffon_omp,100000000,4,10,3.141796239,1.264139
Buffon_omp,1000000000,4,10,3.141616708,12.270823
Buffon_omp,100000000,4,10,3.141796239,1.264139
Buffon_omp,1000000000,4,10,3.141616708,12.270823
Buffon_omp,5000000000,4,10,3.141616806,61.860969
Buffon_omp,100000000,8,10,3.141304351,0.714315
Buffon_omp,100000000,8,10,3.141304351,0.714315
Buffon_omp,1000000000,8,10,3.141754663,7.390326
Buffon_omp,100000000,8,10,3.141304351,0.714315
Buffon_omp,1000000000,8,10,3.141754663,7.390326
Buffon_omp,5000000000,8,10,3.141585733,36.542605
