programa,N,threads,rep,pi,time_s
Dart_seq,100000000,1,1,3.141470440,6.157876
Dart_seq,1000000000,1,1,3.141523092,48.015822
Dart_seq,5000000000,1,1,3.141586202,233.905723
Dart_seq,100000000,1,2,3.141470440,4.421083
Dart_seq,1000000000,1,2,3.141523092,46.580206
Dart_seq,5000000000,1,2,3.141586202,218.455156
Dart_seq,100000000,1,3,3.141470440,4.563475
Dart_seq,1000000000,1,3,3.141523092,41.562425
Dart_seq,5000000000,1,3,3.141586202,236.058023
Dart_seq,100000000,1,4,3.141470440,6.052367
Dart_seq,1000000000,1,4,3.141523092,44.779903
Dart_seq,5000000000,1,4,3.141586202,244.944061
Dart_seq,100000000,1,5,3.141470440,4.381561
Dart_seq,1000000000,1,5,3.141523092,43.201496
Dart_seq,5000000000,1,5,3.141586202,237.770748
Dart_seq,100000000,1,6,3.141470440,4.444600
Dart_seq,1000000000,1,6,3.141523092,50.102610
Dart_seq,5000000000,1,6,3.141586202,241.451650
Dart_seq,100000000,1,7,3.141470440,5.334994
Dart_seq,1000000000,1,7,3.141523092,54.933105
Dart_seq,5000000000,1,7,3.141586202,247.581580
Dart_seq,100000000,1,8,3.141470440,4.355952
Dart_seq,1000000000,1,8,3.141523092,42.990218
Dart_seq,5000000000,1,8,3.141586202,241.765410
Dart_seq,100000000,1,9,3.141470440,4.348615
Dart_seq,1000000000,1,9,3.141523092,42.857492
Dart_seq,5000000000,1,9,3.141586202,242.658101
Dart_seq,100000000,1,10,3.141470440,5.296433
Dart_seq,1000000000,1,10,3.141523092,51.762334
Dart_seq,5000000000,1,10,3.141586202,242.684275
Buffon_seq,100000000,1,1,3.141527379,4.352852
Buffon_seq,1000000000,1,1,3.141612641,63.912479
Buffon_seq,5000000000,1,1,3.141638098,282.748164
Buffon_seq,100000000,1,2,3.141527379,5.082866
Buffon_seq,1000000000,1,2,3.141612641,59.513702
Buffon_seq,5000000000,1,2,3.141638098,279.800723
Buffon_seq,100000000,1,3,3.141527379,5.138426
Buffon_seq,1000000000,1,3,3.141612641,53.846433
Buffon_seq,5000000000,1,3,3.141638098,261.036421
Buffon_seq,100000000,1,4,3.141527379,3.756162
Buffon_seq,1000000000,1,4,3.141612641,37.869995
Buffon_seq,5000000000,1,4,3.141638098,186.841431
Buffon_seq,100000000,1,5,3.141527379,3.772426
Buffon_seq,1000000000,1,5,3.141612641,37.273947
Buffon_seq,5000000000,1,5,3.141638098,188.691125
Buffon_seq,100000000,1,6,3.141527379,3.778114
Buffon_seq,1000000000,1,6,3.141612641,37.356606
Buffon_seq,5000000000,1,6,3.141638098,189.004726
Buffon_seq,100000000,1,7,3.141527379,3.786983
Buffon_seq,1000000000,1,7,3.141612641,37.241392
Buffon_seq,5000000000,1,7,3.141638098,188.626068
Buffon_seq,100000000,1,8,3.141527379,3.802397
Buffon_seq,1000000000,1,8,3.141612641,37.372828
Buffon_seq,5000000000,1,8,3.141638098,187.058594
Buffon_seq,100000000,1,9,3.141527379,3.769032
Buffon_seq,1000000000,1,9,3.141612641,37.971829
Buffon_seq,5000000000,1,9,3.141638098,263.914856
Buffon_seq,100000000,1,10,3.141527379,3.730381
Buffon_seq,1000000000,1,10,3.141612641,37.791233
Buffon_seq,5000000000,1,10,3.141638098,188.642757
