version,np,N,T,rho,tiempo_total
serial,1,100000,2000,0.300,0.709562
serial,1,100000,2000,0.300,0.739830
serial,1,100000,2000,0.300,0.722521
serial,1,100000,2000,0.300,0.716118
serial,1,100000,2000,0.300,0.709440
serial,1,100000,2000,0.300,0.715435
serial,1,100000,2000,0.300,0.717994
serial,1,100000,2000,0.300,0.707630
serial,1,100000,2000,0.300,0.713398
serial,1,100000,2000,0.300,0.717677
serial,1,100000,2000,0.700,0.730363
serial,1,100000,2000,0.700,0.716972
serial,1,100000,2000,0.700,0.725006
serial,1,100000,2000,0.700,0.751786
serial,1,100000,2000,0.700,0.717811
serial,1,100000,2000,0.700,0.731299
serial,1,100000,2000,0.700,0.716317
serial,1,100000,2000,0.700,0.719837
serial,1,100000,2000,0.700,0.730290
serial,1,100000,2000,0.700,0.716690
serial,1,1000000,2000,0.300,7.150155
serial,1,1000000,2000,0.300,7.159554
serial,1,1000000,2000,0.300,7.178408
serial,1,1000000,2000,0.300,7.178492
serial,1,1000000,2000,0.300,7.177524
serial,1,1000000,2000,0.300,7.203124
serial,1,1000000,2000,0.300,7.193172
serial,1,1000000,2000,0.300,7.147069
serial,1,1000000,2000,0.300,7.201335
serial,1,1000000,2000,0.300,7.180422
serial,1,1000000,2000,0.700,7.512402
serial,1,1000000,2000,0.700,7.544476
serial,1,1000000,2000,0.700,7.498334
serial,1,1000000,2000,0.700,7.509962
serial,1,1000000,2000,0.700,7.488998
serial,1,1000000,2000,0.700,7.789298
serial,1,1000000,2000,0.700,7.581333
serial,1,1000000,2000,0.700,7.552867
serial,1,1000000,2000,0.700,7.737231
serial,1,1000000,2000,0.700,7.716705
serial,1,10000000,2000,0.300,71.681739
serial,1,10000000,2000,0.300,71.235349
serial,1,10000000,2000,0.300,71.218295
serial,1,10000000,2000,0.300,71.311126
serial,1,10000000,2000,0.300,71.209662
serial,1,10000000,2000,0.300,71.336282
serial,1,10000000,2000,0.300,72.451972
serial,1,10000000,2000,0.300,71.472619
serial,1,10000000,2000,0.300,71.823830
serial,1,10000000,2000,0.300,71.498993
serial,1,10000000,2000,0.700,76.395094
serial,1,10000000,2000,0.700,76.387394
serial,1,10000000,2000,0.700,76.457522
serial,1,10000000,2000,0.700,77.133141
serial,1,10000000,2000,0.700,76.633470
serial,1,10000000,2000,0.700,77.784582
serial,1,10000000,2000,0.700,77.453234
serial,1,10000000,2000,0.700,77.013688
serial,1,10000000,2000,0.700,77.042487
serial,1,10000000,2000,0.700,76.882677
